from_table,from_column,to_table,edge_kind,how,cross_schema,required
access.access_point,venue_id,platform.scope_node,ambient,convention,yes,yes
access.blacklist,added_by_principal_id,identity.principal,ambient,role,yes,yes
access.scan_event,access_point_id,access.access_point,reference,name,,yes
access.scan_event,device_id,platform.device,reference,name,yes,
access.scan_event,operator_principal_id,identity.principal,ambient,convention,yes,
access.scan_event,overridden_by_principal_id,identity.principal,ambient,role,yes,
access.scan_event,ticket_id,catalogue.entitlement_template,reference,convention,yes,
access.scan_event,venue_id,platform.scope_node,ambient,convention,yes,yes
ai.chunk_ref,document_id,ai.knowledge_document,child,child,,yes
ai.conversation,principal_id,identity.principal,ambient,declared,yes,yes
ai.index_entry,source_id,ai.index_source,child,child,,yes
ai.index_job,source_id,ai.index_source,child,child,,yes
ai.index_source,collection_id,ai.knowledge_collection,reference,declared,,yes
ai.interaction,conversation_id,ai.conversation,reference,declared,,yes
ai.interaction,principal_id,identity.principal,ambient,declared,yes,yes
ai.knowledge_document,collection_id,ai.knowledge_collection,child,child,,yes
ai.message,conversation_id,ai.conversation,child,child,,yes
ai.policy,tenant_id,platform.tenant,ambient,declared,yes,yes
ai.proposed_action,decided_by_principal_id,identity.principal,ambient,declared,yes,yes
ai.proposed_action,interaction_id,ai.interaction,child,child,,yes
ai.provider,region_id,platform.scope_node,ambient,declared,yes,yes
approvals.decision,principal_id,identity.principal,ambient,declared,yes,yes
approvals.decision,request_id,approvals.request,child,child,,yes
approvals.delegation,delegate_principal_id,identity.principal,ambient,declared,yes,yes
approvals.delegation,delegator_principal_id,identity.principal,ambient,declared,yes,yes
approvals.escalation,request_id,approvals.request,child,child,,yes
approvals.request,requested_by_principal_id,identity.principal,ambient,declared,yes,yes
approvals.rule,matrix_id,approvals.matrix,child,child,,yes
assets.media_asset,uploaded_by_principal_id,identity.principal,ambient,role,yes,
assets.media_asset,venue_id,platform.scope_node,ambient,convention,yes,
assets.media_collection,cover_asset_id,assets.media_asset,child,convention,,
assets.media_collection,parent_collection_id,assets.media_collection,child,self-reference,,
assets.media_collection,venue_id,platform.scope_node,ambient,convention,yes,
assets.media_upload,upload_id,assets.media_upload,child,convention,,yes
assets.media_usage,asset_id,assets.media_asset,child,child,,yes
catalogue.alternative_code,product_id,catalogue.product,reference,implied by path,,
catalogue.alternative_code,variant_id,catalogue.variant,reference,convention,,
catalogue.attribute_axis,product_id,catalogue.product,reference,implied by path,,
catalogue.channel_allocation,envelope_id,catalogue.envelope,reference,implied by path,,
catalogue.entitlement_template,admission_profile_id,access.admission_profile,reference,name,yes,
catalogue.envelope,performance_id,catalogue.performance,reference,convention,,yes
catalogue.envelope,seat_category_id,seating.seat_category,reference,name,yes,
catalogue.event,parent_event_id,catalogue.event,child,self-reference,,
catalogue.event,venue_id,platform.scope_node,ambient,convention,yes,yes
catalogue.inventory_lease,envelope_id,catalogue.envelope,reference,name,,yes
catalogue.inventory_lease,force_released_by_principal_id,identity.principal,ambient,role,yes,
catalogue.inventory_lease,holder_workstation_id,platform.workstation,reference,prefix-qualified,yes,yes
catalogue.inventory_lease,parent_lease_id,catalogue.inventory_lease,child,self-reference,,
catalogue.performance,admission_profile_id,access.admission_profile,reference,name,yes,
catalogue.performance,event_id,catalogue.event,reference,name,,yes
catalogue.performance,seat_map_id,seating.seat_map,reference,convention,yes,
catalogue.price,price_list_id,catalogue.price_list,child,name,,yes
catalogue.price,tax_code_id,ledger.tax_code,reference,name,yes,
catalogue.price,variant_id,catalogue.variant,reference,convention,,yes
catalogue.price_list,venue_id,platform.scope_node,ambient,convention,yes,yes
catalogue.product,entitlement_template_id,catalogue.entitlement_template,reference,name,,
catalogue.product,venue_id,platform.scope_node,ambient,convention,yes,yes
catalogue.published_bundle,venue_id,platform.scope_node,ambient,convention,yes,yes
catalogue.variant,product_id,catalogue.product,reference,convention,,yes
control.cell,region_id,platform.scope_node,ambient,convention,yes,yes
control.cell,tenant_id,platform.tenant,ambient,convention,yes,yes
control.cell_cluster,region_id,platform.scope_node,ambient,declared,yes,yes
control.cell_job,cell_id,control.cell,child,convention,,yes
control.environment,cell_id,control.cell,reference,declared,,yes
control.invoice,tenant_id,platform.tenant,ambient,convention,yes,yes
control.invoice_line,invoice_id,control.invoice,child,child,,yes
control.licence_add_on,plan_id,control.plan,child,child,,yes
control.migration,release_id,control.release,reference,declared,,yes
control.migration_plan_cell,cell_id,control.cell,reference,convention,,
control.migration_plan_cell,migration_plan_id,control.migration_plan,child,child,,yes
control.migration_run,canary_cell_id,control.cell,reference,prefix-qualified,,
control.migration_run,plan_id,control.plan,reference,convention,,yes
control.migration_run,started_by_principal_id,identity.principal,ambient,role,yes,
control.release,plan_id,control.plan,reference,declared,,yes
control.rollout,approved_by_principal_id,identity.principal,ambient,role,yes,
control.rollout,release_id,control.release,reference,manual,,yes
control.rollout,started_by_principal_id,identity.principal,ambient,role,yes,
control.rollout_cell,cell_id,control.cell,reference,convention,,yes
control.subscription,plan_id,control.plan,reference,convention,,yes
control.subscription,tenant_id,platform.tenant,ambient,convention,yes,yes
control.support_notice,published_by_principal_id,identity.principal,ambient,role,yes,
control.tenant,account_manager_principal_id,identity.principal,ambient,convention,yes,
control.tenant,plan_id,control.plan,reference,convention,,
control.tenant_migration,plan_id,control.tenant_migration_plan,reference,declared,,yes
control.tenant_migration_plan,tenant_id,control.tenant,reference,declared,,yes
control.upgrade_schedule,tenant_id,platform.tenant,ambient,convention,yes,yes
control.usage_record,venue_id,platform.scope_node,ambient,convention,yes,
fnb.bill_split,visit_id,fnb.table_visit,reference,convention,,yes
fnb.delivery_location,seat_id,seating.seat,reference,convention,yes,
fnb.delivery_location,table_id,fnb.table,reference,convention,,
fnb.delivery_location,venue_id,platform.scope_node,ambient,convention,yes,yes
fnb.delivery_location_outlet,location_id,fnb.delivery_location,child,DDL foreign key,,
fnb.delivery_location_outlet,outlet_id,platform.outlet,reference,DDL foreign key,yes,
fnb.fnb_order,kitchen_ticket_id,fnb.kitchen_ticket,reference,name,,
fnb.fnb_order,outlet_id,platform.outlet,reference,convention,yes,yes
fnb.fnb_order,table_visit_id,fnb.table_visit,reference,name,,
fnb.kitchen_station,outlet_id,platform.outlet,reference,convention,yes,
fnb.kitchen_ticket,order_id,orders.sales_order,reference,convention,yes,yes
fnb.kitchen_ticket,outlet_id,platform.outlet,reference,convention,yes,yes
fnb.kitchen_ticket,prioritised_by_principal_id,identity.principal,ambient,role,yes,
fnb.kitchen_ticket_line,kitchen_ticket_id,fnb.kitchen_ticket,child,child,,yes
fnb.kitchen_ticket_line,station_id,fnb.kitchen_station,reference,convention,,
fnb.location_code,location_id,fnb.delivery_location,reference,DDL foreign key,,
fnb.location_session,location_id,fnb.delivery_location,reference,convention,,yes
fnb.location_session,outlet_id,platform.outlet,reference,convention,yes,
fnb.location_session,subject_id,pii.subject,ambient,convention,yes,
fnb.location_session,venue_id,platform.scope_node,ambient,DDL composite FK,yes,
fnb.location_session,visit_id,fnb.table_visit,reference,convention,,
fnb.menu,outlet_id,platform.outlet,reference,convention,yes,yes
fnb.menu_item,product_variant_id,catalogue.variant,reference,convention,yes,yes
fnb.menu_item,station_id,fnb.kitchen_station,reference,convention,,
fnb.menu_section,menu_id,fnb.menu,child,implied by path,,
fnb.modifier_option,modifier_group_id,fnb.modifier_group,child,child,,yes
fnb.recipe,menu_item_id,fnb.menu_item,reference,convention,,yes
fnb.recipe_ingredient,inventory_item_id,inventory.item,reference,convention,yes,yes
fnb.recipe_ingredient,recipe_id,fnb.recipe,child,child,,yes
fnb.table,outlet_id,platform.outlet,reference,implied by path,yes,
fnb.table_session,outlet_id,platform.outlet,reference,convention,yes,yes
fnb.table_session,subject_id,pii.subject,ambient,convention,yes,
fnb.table_session,table_id,fnb.table,child,convention,,yes
fnb.table_session,visit_id,fnb.table_visit,child,convention,,yes
fnb.table_visit,merged_into_visit_id,fnb.table_visit,child,convention,,
fnb.table_visit,outlet_id,platform.outlet,reference,convention,yes,yes
fnb.table_visit,server_principal_id,identity.principal,ambient,convention,yes,
fnb.table_visit,subject_id,pii.subject,ambient,convention,yes,
fnb.table_visit,table_id,fnb.table,child,convention,,yes
games.card,subject_id,pii.subject,ambient,convention,yes,
games.card,venue_id,platform.scope_node,ambient,convention,yes,yes
games.credit_ledger,card_id,games.card,reference,declared,,yes
games.game,asset_id,maintenance.asset,reference,convention,yes,
games.game,reader_id,platform.device,reference,convention,yes,
games.game,venue_id,platform.scope_node,ambient,convention,yes,yes
games.play,game_id,games.game,reference,convention,,
games.play,play_id,games.play,child,name,,yes
games.prize,merchandise_id,retail.merchandise,reference,convention,yes,
games.prize,venue_id,platform.scope_node,ambient,convention,yes,yes
games.redemption,issued_by_principal_id,identity.principal,ambient,role,yes,
games.redemption,venue_id,platform.scope_node,ambient,convention,yes,
games.redemption_line,prize_id,games.prize,reference,name,,
games.redemption_line,redemption_id,games.redemption,child,child,,yes
identity.authz_audit,actor_principal_id,identity.principal,ambient,DDL foreign key,,
identity.authz_audit,subject_principal_id,identity.principal,ambient,DDL foreign key,,
identity.grant,created_by_principal_id,identity.principal,ambient,role,,
identity.grant,granted_by,identity.principal,ambient,DDL foreign key,,
identity.grant,principal_id,identity.principal,ambient,convention,,
identity.grant,revoked_by,identity.principal,ambient,DDL foreign key,,
identity.grant,role_id,identity.role,reference,convention,,
identity.grant,scope_id,platform.scope_node,ambient,DDL foreign key,yes,
identity.guest_session,subject_id,pii.subject,ambient,declared,yes,yes
identity.mfa_challenge,principal_id,identity.principal,ambient,declared,,yes
identity.mfa_method,principal_id,identity.principal,ambient,DDL foreign key,,
identity.mfa_recovery_code,principal_id,identity.principal,ambient,DDL foreign key,,
identity.otp_challenge,subject_id,pii.subject,ambient,declared,yes,yes
identity.principal,home_scope_id,platform.scope_node,ambient,DDL foreign key,yes,
identity.principal,primary_role_id,identity.role,reference,prefix-qualified,,
identity.principal_credential,principal_id,identity.principal,ambient,DDL foreign key,,
identity.role_permission,role_id,identity.role,child,DDL foreign key,,
identity.session,principal_id,identity.principal,ambient,declared,,yes
identity.sso_group_mapping,provider_id,identity.sso_provider,reference,DDL foreign key,,
