table,column,type,would_point_at,self_reference,operations,screens,weight
access.entitlement,shared_with_subject_ids,text[],pii.subject,,28,66,94
orders.order_line,seat_ids,text[],seating.seat,,18,49,67
orders.order_line,entitlement_ids,text[],access.entitlement,,18,49,67
marketing.guest_profile,recent_order_ids,text[],fnb.order,,20,33,53
marketing.guest_profile,membership_ids,text[],identity.customer_membership,,20,33,53
ai.policy,allowed_role_ids,text[],identity.role,,12,33,45
assets.media_asset,shared_with_tenant_ids,text[],control.tenant,,14,29,43
approvals.rule,approver_role_ids,text[],identity.role,,6,34,40
approvals.rule,escalate_to_role_ids,text[],identity.role,,6,34,40
maintenance.asset,linked_product_ids,text[],catalogue.product,,9,27,36
fnb.menu_item,modifier_group_ids,text[],fnb.modifier_group,,15,20,35
queue.queue,load_balance_with_queue_ids,text[],queue.queue,yes,9,25,34
orders.cart,applied_promotion_ids,text[],promotions.promotion,,11,21,32
seating.seat,companion_seat_ids,text[],seating.seat,yes,5,26,31
orders.cart_line,seat_ids,text[],seating.seat,,7,19,26
access.admission_rules,allowed_access_point_ids,text[],access.access_point,,7,18,25
control.api_client,allowed_tenant_ids,text[],control.tenant,,9,15,24
seating.seat_hold,seat_ids,text[],seating.seat,,6,17,23
seating.seat_hold,buffered_seat_ids,text[],seating.seat,,6,17,23
fnb.table_visit,merged_from_visit_ids,text[],fnb.table_visit,yes,17,4,21
orders.ticket_transfer,ticket_ids,text[],fnb.kitchen_ticket,,2,18,20
marketing.segment,exclude_segment_ids,text[],marketing.segment,yes,4,13,17
games.reader,accepted_credit_type_ids,text[],wallet.credit_type,,2,14,16
reporting.alert_rule,recipient_role_ids,text[],identity.role,,3,13,16
fnb.delivery_location,serving_outlet_ids,text[],platform.outlet,,3,12,15
seating.hold_pool,seat_ids,text[],seating.seat,,3,11,14
fnb.kitchen_station,menu_item_ids,text[],fnb.menu_item,,5,8,13
accreditation.access_profile,zone_ids,text[],seating.zone,,3,9,12
identity.access_policy,applies_to_role_ids,text[],identity.role,,7,5,12
identity.access_policy,delegated_admin_role_ids,text[],identity.role,,7,5,12
wallet.wallet_type,allowed_credit_type_ids,text[],wallet.credit_type,,3,9,12
workforce.announcement,role_ids,text[],identity.role,,4,8,12
fnb.production_run,for_outlet_ids,text[],platform.outlet,,5,5,10
games.entitlement,game_ids,text[],games.game,,2,8,10
games.entitlement,attraction_type_ids,text[],games.attraction_type,,2,8,10
marketing.form_definition,applies_to_product_ids,text[],catalogue.product,,3,7,10
wallet.channel_rules,acceptance_point_ids,text[],venuemap.point,,1,9,10
promotions.upsell_rule,trigger_variant_ids,text[],catalogue.variant,,4,4,8
promotions.upsell_rule,suggested_variant_ids,text[],catalogue.variant,,4,4,8
rental.inspection,photo_asset_ids,text[],maintenance.asset,,1,7,8
resources.resource_requirement,substitute_resource_ids,text[],resources.resource,,3,5,8
seating.group_request,preferred_section_ids,text[],seating.section,,2,6,8
seating.seat_rules,killed_seat_ids,text[],seating.seat,,2,6,8
seating.zone,contains_seat_ids,text[],seating.seat,,1,7,8
seating.zone,obstructs_zone_ids,text[],seating.zone,yes,1,7,8
access.parking_facility,access_point_ids,text[],access.access_point,,3,4,7
rental.pricing_profile,location_ids,text[],inventory.location,,3,4,7
accreditation.programme,event_ids,text[],catalogue.event,,2,4,6
approvals.control_policy,required_approver_group_ids,text[],fnb.modifier_group,,2,4,6
control.support_notice,affected_tenant_ids,text[],control.tenant,,2,4,6
ledger.legal_entity,region_ids,text[],platform.region_settings,,3,3,6
platform.profile_deployment,target_workstation_ids,text[],platform.workstation,,1,5,6
promotions.bundle_component,substitute_variant_ids,text[],catalogue.variant,,3,3,6
marketing.lost_item,photo_asset_ids,text[],maintenance.asset,,4,1,5
seating.seat_block,seat_ids,text[],seating.seat,,2,3,5
catalogue.event_reschedule,performance_ids,text[],catalogue.performance,,1,3,4
games.reader_profile,entitlement_product_ids,text[],catalogue.product,,1,3,4
resources.resource_category,applicable_resource_type_ids,text[],resources.resource_type,,3,1,4
wallet.credit_eligibility,allowed_product_category_ids,text[],catalogue.product_category,,1,3,4
wallet.credit_eligibility,excluded_product_ids,text[],catalogue.product,,1,3,4
accreditation.holder_access,access_profile_ids,text[],accreditation.access_profile,,1,2,3
accreditation.print_job,credential_ids,text[],accreditation.credential,,2,1,3
control.environment,cell_ids,text[],control.cell,,2,1,3
marketing.invitation,entitlement_ids,text[],access.entitlement,,1,2,3
rental.incident,photo_asset_ids,text[],maintenance.asset,,1,2,3
resources.attribute_definition,applicable_resource_type_ids,text[],resources.resource_type,,2,1,3
wallet.adjustment,affected_lot_ids,text[],wallet.credit_lot,,1,2,3
wallet.transfer_rules,transferable_credit_type_ids,text[],wallet.credit_type,,1,2,3
assets.share,asset_ids,text[],maintenance.asset,,1,1,2
catalogue.prepaid_minutes,applicable_space_ids,text[],catalogue.space,,1,1,2
control.cell_cluster,cell_ids,text[],control.cell,,2,0,2
games.redemption,stock_movement_ids,text[],inventory.movement,,1,1,2
promotions.voucher_batch,restrict_to_variant_ids,text[],catalogue.variant,,2,0,2
seating.reassignment,from_seat_ids,text[],seating.seat,,1,1,2
seating.reassignment,to_seat_ids,text[],seating.seat,,1,1,2
tenancy.device_rollout,target_device_ids,text[],platform.device,,2,0,2
orders.invitation,entitlement_ids,text[],access.entitlement,,1,0,1
control.migration_plan_cell,tenant_ids,text[],control.tenant,,0,0,0
fnb.service_order_line,modifier_option_ids,text[],fnb.modifier_option,,0,0,0
