table,state,columns,parent,inbound,schema,contract,referenced_by,declared_reason
access.access_change,unreferenced,9,,0,AccessAccessChange,spine/access.yaml,,
access.entry_rule_point,unreferenced,5,,0,AccessEntryRulePoint,spine/access.yaml,,
control.burst_environment,unreferenced,19,,0,BurstEnvironment,satellite/subscription.yaml,,
control.cell_instance,childOfWiredParent,7,control.cell,1,CellInstance,satellite/subscription.yaml,control.cell_tenant,
control.cell_tenant,childOfWiredParent,9,control.cell,0,CellTenant,satellite/subscription.yaml,,
control.invoice_line,childOfWiredParent,8,control.invoice,0,,,,
control.migration_plan_cell,childOfWiredParent,10,control.migration_plan,0,,,,
control.migration_run_cell,childOfWiredParent,14,control.migration_run,0,,,,
control.migration_run_tenant,childOfWiredParent,13,control.migration_run,0,,,,
control.release_component,childOfWiredParent,5,control.release,0,,,,
fnb.delivery_location_outlet,childOfWiredParent,3,fnb.delivery_location,0,,,,
fnb.ingredient_substitute,referenced,10,,1,FnbIngredientSubstitute,satellite/fnb.yaml,fnb.substitution_rule,
fnb.menu_item_modifier,childOfWiredParent,5,inventory.item,0,FnbMenuItemModifier,satellite/fnb.yaml,,
fnb.product_recommendation,unreferenced,17,,0,FnbProductRecommendation,satellite/fnb.yaml,,
fnb.recipe_ingredient,childOfWiredParent,6,fnb.recipe,0,,,,
fnb.reservation_table,childOfWiredParent,4,retail.reservation,0,FnbReservationTable,satellite/fnb.yaml,,
fnb.sub_bill,unreferenced,11,,0,SubBill,satellite/fnb.yaml,,
games.redemption_line,childOfWiredParent,6,games.redemption,0,,,,
identity.authz_audit,storageOnly,3,,0,,,,"Written by the platform, read through reporting. No direct API"
identity.refresh_token,storageOnly,10,,0,IdentityRefreshToken,spine/identity.yaml,,"**A bearer credential, like `principal_credential`.** Returning a refresh token hash over any endpoint defeats rotation. Revocation is `forceLogout` and `guestLogout`, which end a session; the tokens behind them are an implementation of that, not a resource"
inventory.count_line,childOfWiredParent,14,inventory.count,0,CountLine,satellite/inventory.yaml,,
inventory.goods_receipt_line,childOfWiredParent,10,inventory.goods_receipt,0,,,,
inventory.purchase_order_line,childOfWiredParent,10,inventory.purchase_order,0,,,,
inventory.requisition_line,childOfWiredParent,10,inventory.requisition,0,,,,
inventory.stock_reservation,referenced,10,,1,InventoryStockReservation,satellite/inventory.yaml,rental.agreement_item,
inventory.supplier_contract,childOfWiredParent,12,inventory.supplier,0,InventorySupplierContract,satellite/inventory.yaml,,
inventory.transfer_line,childOfWiredParent,8,inventory.transfer,0,,,,
ledger.journal_line,childOfWiredParent,8,ledger.journal_entry,0,,,,
maintenance.inspection_template_item,childOfWiredParent,11,maintenance.inspection_template,0,,,,
marketing.campaign_target,childOfWiredParent,7,marketing.campaign,0,MarketingCampaignTarget,satellite/marketing-crm.yaml,,
marketing.guest_extra_field,unreferenced,9,,0,MarketingGuestExtraField,satellite/marketing-crm.yaml,,
marketing.guest_extra_option,unreferenced,5,,0,MarketingGuestExtraOption,satellite/marketing-crm.yaml,,
marketing.guest_extra_value,unreferenced,6,,0,MarketingGuestExtraValue,satellite/marketing-crm.yaml,,
marketing.journey_step,childOfWiredParent,14,marketing.journey,0,MarketingJourneyStep,satellite/marketing-crm.yaml,,
marketing.points_earning_rule,childOfWiredParent,6,marketing.loyalty_programme,1,,,marketing.loyalty_rule,
