from_table,from_column,to_table,edge_kind,how,cross_schema,required
access.access_point,venue_id,platform.org_unit,reference,declared,yes,yes
access.blacklist,added_by_principal_id,identity.principal,reference,declared,yes,yes
access.entitlement,order_line_id,orders.order_line,reference,convention,yes,yes
access.entitlement,product_id,catalogue.product,reference,convention,yes,yes
access.entitlement,subject_id,pii.subject,reference,convention,yes,yes
access.entitlement,supersedes_entitlement_id,access.entitlement,reference,convention,,yes
access.entitlement,via appendEntitlementToMedia,orders.order_line,ambient,lineage,yes,
access.entitlement,via appendEntitlementToMedia,orders.payment,ambient,lineage,yes,
access.entitlement,via appendEntitlementToMedia,orders.sales_order,ambient,lineage,yes,
access.entitlement,via claimTicketTransfer,orders.ticket_transfer,ambient,lineage,yes,
access.entitlement,via issueInvitation,orders.invitation,ambient,lineage,yes,
access.entitlement,via issueInvitation,orders.invitation_allowance,ambient,lineage,yes,
access.entitlement,via shareEntitlement,identity.delegated_access,ambient,lineage,yes,
access.entitlement,via transferOrderTickets,orders.ticket_transfer,ambient,lineage,yes,
access.parking_entitlement,facility_id,access.parking_facility,reference,declared,,yes
access.parking_entitlement,order_id,orders.sales_order,reference,declared,yes,yes
access.parking_entitlement,subject_id,pii.subject,reference,declared,yes,yes
access.parking_facility,venue_id,platform.org_unit,reference,declared,yes,yes
access.scan_event,access_point_id,access.access_point,reference,declared,,yes
access.scan_event,device_id,platform.device,reference,declared,yes,yes
access.scan_event,operator_principal_id,identity.principal,reference,declared,yes,yes
access.scan_event,overridden_by_principal_id,identity.principal,reference,declared,yes,yes
access.scan_event,ticket_id,access.entitlement,reference,declared,,yes
access.scan_event,venue_id,platform.org_unit,reference,declared,yes,yes
access.scan_event,via syncScans,sync.rejection,ambient,lineage,yes,
access.scan_event,via validateAccess,platform.outbox,ambient,lineage,yes,
accreditation.application,approval_request_id,approvals.request,reference,convention,yes,yes
accreditation.application,holder_id,accreditation.holder,reference,convention,,yes
accreditation.application,programme_id,accreditation.programme,reference,convention,,yes
accreditation.application,submitted_by_principal_id,identity.principal,reference,convention,yes,yes
accreditation.audit,actor_principal_id,identity.principal,reference,convention,yes,yes
accreditation.audit,approval_request_id,approvals.request,reference,convention,yes,yes
accreditation.audit,holder_id,accreditation.holder,reference,convention,,yes
accreditation.badge_template,background_asset_id,maintenance.asset,reference,convention,yes,yes
accreditation.credential,badge_template_id,accreditation.badge_template,reference,convention,,yes
accreditation.credential,holder_id,accreditation.holder,reference,convention,,yes
accreditation.credential,replaces_credential_id,accreditation.credential,reference,convention,,yes
accreditation.document,application_id,accreditation.application,reference,convention,,yes
accreditation.document,asset_id,maintenance.asset,reference,convention,yes,yes
accreditation.document,holder_id,accreditation.holder,reference,convention,,yes
accreditation.holder,photo_asset_id,maintenance.asset,reference,convention,yes,yes
accreditation.holder,programme_id,accreditation.programme,reference,convention,,yes
accreditation.holder,subject_id,pii.subject,reference,convention,yes,yes
accreditation.holder_access,holder_id,accreditation.holder,child,convention,,yes
accreditation.notification_rules,programme_id,accreditation.programme,reference,convention,,yes
accreditation.print_job,printer_device_id,platform.device,reference,convention,yes,yes
accreditation.requirements,programme_id,accreditation.programme,reference,convention,,yes
accreditation.validity,programme_id,accreditation.programme,reference,convention,,yes
ai.chunk_ref,document_id,ai.knowledge_document,reference,declared,,yes
ai.conversation,principal_id,identity.principal,reference,declared,yes,yes
ai.index_entry,source_id,ai.index_source,reference,declared,,yes
