contract,operationId,path,verb,state,siblingScreens,noScreenReason
access,listAccessChanges,/access-changes,get,needsScreen,,
access,listEntryRulePoints,/admission-rules/{ruleId}/points,get,needsScreen,createAdmissionRules | listAdmissionRules,
ai,listIndexSources,/index-sources,get,needsScreen,,
ai,setIndexSource,/index-sources,put,needsScreen,,
ai,removeIndexEntry,/index-sources/{sourceId}/entries/{entryId},delete,needsScreen,,
catalogue,listDonationCampaigns,/donation-campaigns,get,needsScreen,,
catalogue,createDonationCampaign,/donation-campaigns,post,needsScreen,,
catalogue,updateDonationCampaign,/donation-campaigns/{campaignId},patch,needsScreen,,
catalogue,getPlanBenefits,/entitlement-templates/{templateId}/benefits,get,needsScreen,createEntitlementTemplate | listEntitlementTemplates,
catalogue,freezeEntitlement,/entitlements/{entitlementId}/freeze,post,needsScreen,,
catalogue,reinstateEntitlement,/entitlements/{entitlementId}/reinstate,post,needsScreen,,
catalogue,suspendEntitlement,/entitlements/{entitlementId}/suspend,post,needsScreen,,
catalogue,listMembershipBenefits,/membership-benefits,get,needsScreen,,
catalogue,setMembershipBenefit,/membership-benefits,put,needsScreen,,
catalogue,listMembershipProgrammes,/membership-programmes,get,needsScreen,,
catalogue,setMembershipProgramme,/membership-programmes,put,needsScreen,,
catalogue,listDynamicPriceRules,/pricing/dynamic-rules,get,needsScreen,listPricing,
catalogue,getDynamicPriceRule,/pricing/dynamic-rules/{ruleId},get,needsScreen,listPricing,
catalogue,listWaitlistEntries,/waitlist-entries,get,needsScreen,joinWaitlist | leaveWaitlist,
cross-region,listCellConnections,/cell-connections,get,needsScreen,,
cross-region,listCrossCellRequests,/cross-cell-requests,get,needsScreen,,
cross-region,getWalletAllocation,/wallet-allocations,get,needsScreen,,
cross-region,setWalletAllocationPolicy,/wallet-allocations,put,needsScreen,,
cross-region,authoriseWalletSpend,/wallet-authorisations,post,needsScreen,,
cross-region,captureWalletAuthorisation,/wallet-authorisations/{authorisationId}/capture,post,needsScreen,,
cross-region,relinquishWalletAuthorisation,/wallet-authorisations/{authorisationId}/release,post,needsScreen,,
finance,getForeignTenderReport,/fx/foreign-tender,get,needsScreen,,
finance,listInterEntityObligations,/fx/inter-entity,get,needsScreen,,
finance,calculateTax,/tax/calculate,post,needsScreen,,
finance,recordWriteOff,/write-offs,post,needsScreen,,
fnb,createCombo,/combos,post,needsScreen,,
fnb,setComboSlots,/combos/{comboId}/slots,put,needsScreen,,
fnb,listFnbRecommendations,/product-recommendations,get,needsScreen,,
fnb,listIngredientSubstitutes,/recipes/{recipeId}/substitutes,get,needsScreen,listRecipes | setRecipe,
fnb,resolveBookingConflict,/table-reservations/conflicts,get,needsScreen,createTableReservation | listTableReservations,
identity,evaluateAccess,/access-decisions,post,needsScreen,,
identity,listAccessDecisions,/access-decisions/audit,get,needsScreen,,
identity,createEmergencyAccessOverride,/access-overrides,post,needsScreen,,
